Global Property ID;Source Property ID;Global Property Name;Global Chain Code;Property Address 1;Property Address 2;Primary Airport Code;Property City Name;Property State/Province;Property Zip/Postal;Property Country Code;Property Phone Number;Property Fax Number;Sabre Property Rating;Property Latitude;Property Longitude;Source Group Code
100416694;69083;Honeysuckle Executive Apartmen;GD;14 Honeysuckle;;SYD;Newcastle;NSW;2300;AU;61-2-49555888;61-2-49555888;4.0;-32.926201;151.770225;SABRE_GDS
100001502;102065;Alpine Motor Inn;GD;197 Great Western Highway;;SYD;Katoomba;NSW;2780;AU;61-2-47822011;61-2-47822053;;-3.370671;15.031743;SABRE_GDS
100464470;321896;Burnett Riverside Hotel;GD;7 Quay St;;BDB;Bundaberg Central;QLD;4670;AU;61-7-41558777;61-7-41558777;;-24.863501;152.352161;SABRE_GDS
100204800;317800;Deep Blue Hotel And Hot Springs;GD;16 Worm Bay Road;;WMB;Warrnambool;VIC;3280;AU;61-3-55592000;;4.0;-38.396427;142.473432;SABRE_GDS
102113159;610931;Wildlife Retreat At Taronga;GD;2a Bradleys Head Rd;;SYD;Mosman;NSW;2088;AU;61-2-99324888;;;-33.843367;151.244057;SABRE_GDS
102177957;389508;Alloggio Thornton;GD;21 Poynton Place;;NTL;Thornton;NSW;2322;AU;61-2-40365060;61-2-40365060;3.0;-327.735;15.164091;SABRE_GDS
100037660;162760;Spicers Balfour Hotel;GD;37 Balfour Street;;BNE;New Farm;QLD;4005;AU;61-7-3358-8888;;;-2.746388;153.040406;SABRE_GDS
100249656;415870;Discovery Parks - Cradle Mt;GD;3832 Cradle Mountain Road;;DPO;Cradle Mountain;TAS;7306;AU;61-3-64921395;61-3-64921438;3.0;-4.158137;14.593708;SABRE_GDS
100020240;137581;Quest Moorabbin;GD;3 Kingston Road;;MBW;Heatherton;VIC;3202;AU;61-3-99818900;61-3-99818999;;-37.953223;145.079758;SABRE_GDS
100300270;443030;Discovery Parks - Robe;GD;70 Esplanade;;MGB;Robe;SA;5276;AU;61-8-87682237;61-8-87682730;3.0;-37.164113;13.978335;SABRE_GDS
102942673;614714;Quest Bairnsdale;GD;9 Dalmahoy St;;BJS;Bairnsdale;VIC;3875;AU;1800-334-033;;;-37.828432;147.633084;SABRE_GDS
100811473;187998;Astra Sydney Cbd;GD;355 To 365 Kent St;;SYD;Sydney;NSW;02000;AU;61-1300797321;;4.0;-3.386889;15.120455;SABRE_GDS
100619448;611498;Eureka Tower;GD;7 Riverside Quay;;MEL;Southbank;VIC;3006;AU;61-08-6064300;61-08-6064300;;-37.821334;144.964698;SABRE_GDS
101033998;387846;Hobart City Apartments;GD;80 Elizabeth Street;;HBA;Hobart;TAS;7000;AU;61-3-62405585;;4.0;-4.288123;14.732619;SABRE_GDS
100238538;410039;Charlestown Executive Apartments;GD;45-47 Dickinson Street;;NTL;Charlestown;NSW;2290;AU;61-2-49416688;6-124-942-3433;3.0;-3.296513;151.698135;SABRE_GDS
102697661;606772;Abode Phillip;GD;6 Furzer Street;;CBR;Phillip;ACT;2606;AU;61-02-62200120;;;-35.340918;149.083709;SABRE_GDS
102323109;396722;Urban Rest - Mulwarree Avenue;GD;9 Mulwarree Ave;;SYD;Randwick;NSW;2031;AU;61-2-72022327;;4.0;-3.390758;15.123598;SABRE_GDS
100193620;311994;Quest Macquarie Park;GD;71 Epping Road;;SYD;Sydney;NSW;2113;AU;61-2-88794600;61-2-88794699;4.0;-3.378822;15.112676;SABRE_GDS
100243884;611629;Kingsford The Barossa;GD;68 Kingsford Road;;ADL;Kingsford;SA;5118;AU;61-8-85248120;61-8-85248120;;-34.548888;138.796689;SABRE_GDS
100206592;318890;Quest Midland;GD;3 The Crescent;;PER;Midland;WA;6056;AU;61-8-61483900;;4.0;-3.188898;11.600398;SABRE_GDS
100700730;383730;Astra Apartments Glen Waverley At O'sullivan Road;GD;52-54 O'sullivan Road;;MEL;Melbourne;VIC;;AU;61432540728;;4.0;-3.787869;14.516496;SABRE_GDS
100809341;286241;Wattle Grove Motel;GD;610 Welshpool Road;;PER;WATTLE GROVE;WA;6107;AU;61-8-93591119;61-8-93591159;3.0;-32.006665;115.989431;SABRE_GDS
102270603;601485;Studios On King;GD;202 King Street;;NTL;Newcastle;NSW;2300;AU;61-2-45084009;61-2-45084009;;-3.292721;15.177575;SABRE_GDS
100027348;147086;Quest Bendigo Central;GD;228 Mccrae Street.;;BXG;Bendigo;VIC;3550;AU;61 3 5410 1300;61 3 5410 1399;4.0;-3.675231;14.428904;SABRE_GDS
100797449;177998;The Executive Inn Newcastle;GD;10 Rugby Road;;NTL;New Lambton;NSW;02305;AU;61-2-49351100;61-2-49351481;4.0;-32.920694;151.714714;SABRE_GDS
100384002;366847;Gidgee Inn;GD;48 Mcilwraith Street;;CNJ;Cloncurry;QLD;4824;AU;61-747421599;;4.0;-2.070707;14.052663;SABRE_GDS
101107716;614990;Cootamundra Caravan Park;GD;55 Mackay St;;SYD;Cootamundra;NSW;2590;AU;61-02-69421080;61-02-69421080;;-34.638704;148.021771;SABRE_GDS
100605090;325079;Mid City Hotel Ballarat;GD;19 Doveton St Nth;;AVV;Ballarat;VIC;3350;AU;61-3-53277588;;3.0;-3.756846;14.385381;SABRE_GDS
100245718;381746;City Centre Motel Armidale;GD;146 Dangar St;;ARM;Armidale;NSW;2350;AU;61-2-67722351;;;-30.516699;151.663623;SABRE_GDS
100350888;46828;Cotswold Gardens Armidale;GD;34 Marsh Street;Armidale Sw Au 2350;ARM;Armidale;NSW;2350;AU;61267728222;61-2-67725139;;-3.050659;15.167144;SABRE_GDS
100700782;387240;Urban Rest - Collins St Docklands;GD;888 Collins Street;;MEL;Melbourne;VIC;3008;AU;61383760813;;;-37.818995;144.954145;SABRE_GDS
100203080;316911;Quest Innaloo;GD;1 Sunray Drive;;PER;Innaloo;WA;6018;AU;61-861482600;61-3-86991555;4.0;-3.189562;11.580229;SABRE_GDS
102289045;601618;Reflections Wyangala Waters -;GD;2891 Reg Hailstone Way;;CWT;Wyangala;NSW;2808;AU;61-2-63450877;;2.0;-3.392454;14.894843;SABRE_GDS
100442780;319202;Quest Cannon Hill;GD;930 Wynnum Road;;BNE;Cannon Hill;QLD;4170;AU;61-7-35566000;61-3-86991555;4.0;-2.746812;15.308859;SABRE_GDS
102135001;386621;Sky One Apartments By Cllix;GD;545 Station Street;;MEL;Box Hill;VIC;3128;AU;61-3-70386777;;4.0;-37.819922;145.123013;SABRE_GDS
100036546;1589;Quest Geelong;GD;16 18 The Esplanade South;;GEX;Geelong;VIC;3220;AU;61352282000;61352282199;3.0;-3.813786;14.435425;SABRE_GDS
100208408;611628;Lilianfels Blue Mountains Reso;GD;5 19 Lilianfels Avenue;;SYD;Katoomba;NSW;2780;AU;61-2-47801200;61-2-47801200;5.0;-3.372935;150.309653;SABRE_GDS
100805547;280352;Quest Liverpool;GD;39 Scott Street;;SYD;Liverpool;NSW;2170;AU;61-2-87380800;61-2-87380899;;-33.925089;150.924902;SABRE_GDS
100259110;606840;City Centre Motel Kempsey;GD;95 Smith St;;PQQ;Kempsey;NSW;2440;AU;61-2-65627733;;;-31.076148;152.844442;SABRE_GDS
100055226;186984;Colmslie Hotel Suites And Conf;GD;;;BNE;Brisbane;QLD;04170;AU;61-7-33998222;61-7-33992947;;-27.466109;153.078677;SABRE_GDS
102270371;614993;Young Tourist Caravan Park;GD;17 Edward Street;;CBR;Young;NSW;2594;AU;61-02-63822190;61-02-63822190;2.0;-34.31;148.303056;SABRE_GDS
102942997;614715;Quest On Wickham Terrace;GD;375 Wickham Terrace;;BNE;Spring Hill;QLD;7000;AU;1-800-333-4033;;;-2.746373;153.020958;SABRE_GDS
100927277;608759;Discovery Parks - Moama Waters;GD;96 Old Barmah Road;;ECH;Moama;NSW;2731;AU;61-3-54807717;;2.0;-36.111258;144.791457;SABRE_GDS
100183568;305679;Discovery Parks Lake Bonney;GD;;;MQL;Barmera;SA;5345;AU;1-800-094828;61-8-858-81974;3.0;-34.251098;140.453618;SABRE_GDS
102643751;606972;Haberfield Hotel;GD;215-217 Parramatta Road;;SYD;Haberfield;NSW;2045;AU;02-8111-8000;02-8111-8000;;-33.878108;151.131034;SABRE_GDS
100256820;391728;Santa Fe Motel;GD;8 Byron Street;;BNK;Lennox Head;NSW;2478;AU;61-2-66877788;61-2-66877788;3.0;-2.879313;15.359206;SABRE_GDS
